[INFO] Running gsbs_only.py
[fetch_atlas_schaefer_2018] Dataset found in /home/t-9sador/nilearn_data/schaefer_2018
[STAGE 1] LOADING DATA
[INFO] Successfully loaded, cleaned, and z-scored 'students' data.
[INFO] Target output shape format: (320, 477) (n_voxels, TR)
[INFO] Successfully loaded, cleaned, and z-scored 'experts' data.
[INFO] Target output shape format: (320, 477) (n_voxels, TR)
[INFO] Successfully loaded, cleaned, and z-scored 'combined' data.
[INFO] Target output shape format: (320, 477) (n_voxels, TR)
[RESUME] Loaded 10 ROIs from students_results_checkpoint.pkl
[RESUME] Loaded 10 ROIs from experts_results_checkpoint.pkl
[RESUME] Loaded 10 ROIs from all_results_checkpoint.pkl

[STAGE 2] RUNNING GSBS ON RAW Z-SCORED DATA
[INFO] 190 ROIs remaining to process
  Students - ROI 11: optimal n events = 38
  Experts - ROI 11: optimal n events = 40
  Combined - ROI 11: optimal n events = 31
  Students - ROI 12: optimal n events = 49
  Experts - ROI 12: optimal n events = 39
  Combined - ROI 12: optimal n events = 44
  Students - ROI 13: optimal n events = 32
  Experts - ROI 13: optimal n events = 54
  Combined - ROI 13: optimal n events = 41
  Students - ROI 14: optimal n events = 38
  Experts - ROI 14: optimal n events = 47
  Combined - ROI 14: optimal n events = 37
  Students - ROI 15: optimal n events = 38
  Experts - ROI 15: optimal n events = 48
  Combined - ROI 15: optimal n events = 34
  Students - ROI 16: optimal n events = 35
  Experts - ROI 16: optimal n events = 43
  Combined - ROI 16: optimal n events = 38
  Students - ROI 17: optimal n events = 36
  Experts - ROI 17: optimal n events = 50
  Combined - ROI 17: optimal n events = 33
  Students - ROI 18: optimal n events = 35
  Experts - ROI 18: optimal n events = 41
  Combined - ROI 18: optimal n events = 36
  Students - ROI 19: optimal n events = 39
  Experts - ROI 19: optimal n events = 36
  Combined - ROI 19: optimal n events = 38
  Students - ROI 20: optimal n events = 51
  Experts - ROI 20: optimal n events = 30
  Combined - ROI 20: optimal n events = 39
[CHECKPOINT] Saved through ROI 20
  Students - ROI 21: optimal n events = 26
  Experts - ROI 21: optimal n events = 37
  Combined - ROI 21: optimal n events = 27
  Students - ROI 22: optimal n events = 38
  Experts - ROI 22: optimal n events = 34
  Combined - ROI 22: optimal n events = 31
  Students - ROI 23: optimal n events = 36
  Experts - ROI 23: optimal n events = 45
  Combined - ROI 23: optimal n events = 35
  Students - ROI 24: optimal n events = 44
  Experts - ROI 24: optimal n events = 44
  Combined - ROI 24: optimal n events = 33
  Students - ROI 25: optimal n events = 28
  Experts - ROI 25: optimal n events = 48
  Combined - ROI 25: optimal n events = 33
  Students - ROI 26: optimal n events = 43
  Experts - ROI 26: optimal n events = 38
  Combined - ROI 26: optimal n events = 33
  Students - ROI 27: optimal n events = 40
  Experts - ROI 27: optimal n events = 38
  Combined - ROI 27: optimal n events = 36
  Students - ROI 28: optimal n events = 31
  Experts - ROI 28: optimal n events = 58
  Combined - ROI 28: optimal n events = 29
  Students - ROI 29: optimal n events = 33
  Experts - ROI 29: optimal n events = 28
  Combined - ROI 29: optimal n events = 40
  Students - ROI 30: optimal n events = 40
  Experts - ROI 30: optimal n events = 31
  Combined - ROI 30: optimal n events = 29
[CHECKPOINT] Saved through ROI 30
  Students - ROI 31: optimal n events = 44
  Experts - ROI 31: optimal n events = 43
  Combined - ROI 31: optimal n events = 64
  Students - ROI 32: optimal n events = 29
  Experts - ROI 32: optimal n events = 38
  Combined - ROI 32: optimal n events = 34
  Students - ROI 33: optimal n events = 40
  Experts - ROI 33: optimal n events = 39
  Combined - ROI 33: optimal n events = 41
  Students - ROI 34: optimal n events = 43
  Experts - ROI 34: optimal n events = 45
  Combined - ROI 34: optimal n events = 43
  Students - ROI 35: optimal n events = 30
  Experts - ROI 35: optimal n events = 51
  Combined - ROI 35: optimal n events = 33
  Students - ROI 36: optimal n events = 39
  Experts - ROI 36: optimal n events = 38
  Combined - ROI 36: optimal n events = 30
  Students - ROI 37: optimal n events = 37
  Experts - ROI 37: optimal n events = 32
  Combined - ROI 37: optimal n events = 38
  Students - ROI 38: optimal n events = 35
  Experts - ROI 38: optimal n events = 37
  Combined - ROI 38: optimal n events = 31
  Students - ROI 39: optimal n events = 40
  Experts - ROI 39: optimal n events = 51
  Combined - ROI 39: optimal n events = 33
  Students - ROI 40: optimal n events = 29
  Experts - ROI 40: optimal n events = 55
  Combined - ROI 40: optimal n events = 32
[CHECKPOINT] Saved through ROI 40
  Students - ROI 41: optimal n events = 31
  Experts - ROI 41: optimal n events = 37
  Combined - ROI 41: optimal n events = 27
  Students - ROI 42: optimal n events = 33
  Experts - ROI 42: optimal n events = 37
  Combined - ROI 42: optimal n events = 30
  Students - ROI 43: optimal n events = 39
  Experts - ROI 43: optimal n events = 36
  Combined - ROI 43: optimal n events = 42
  Students - ROI 44: optimal n events = 36
  Experts - ROI 44: optimal n events = 58
  Combined - ROI 44: optimal n events = 27
  Students - ROI 45: optimal n events = 40
  Experts - ROI 45: optimal n events = 39
  Combined - ROI 45: optimal n events = 28
  Students - ROI 46: optimal n events = 40
  Experts - ROI 46: optimal n events = 39
  Combined - ROI 46: optimal n events = 38
  Students - ROI 47: optimal n events = 37
  Experts - ROI 47: optimal n events = 45
  Combined - ROI 47: optimal n events = 34
  Students - ROI 48: optimal n events = 48
  Experts - ROI 48: optimal n events = 48
  Combined - ROI 48: optimal n events = 41
  Students - ROI 49: optimal n events = 38
  Experts - ROI 49: optimal n events = 44
  Combined - ROI 49: optimal n events = 35
  Students - ROI 50: optimal n events = 36
  Experts - ROI 50: optimal n events = 39
  Combined - ROI 50: optimal n events = 39
[CHECKPOINT] Saved through ROI 50
  Students - ROI 51: optimal n events = 38
  Experts - ROI 51: optimal n events = 34
  Combined - ROI 51: optimal n events = 34
  Students - ROI 52: optimal n events = 38
  Experts - ROI 52: optimal n events = 31
  Combined - ROI 52: optimal n events = 36
  Students - ROI 53: optimal n events = 40
  Experts - ROI 53: optimal n events = 41
  Combined - ROI 53: optimal n events = 40
  Students - ROI 54: optimal n events = 39
  Experts - ROI 54: optimal n events = 31
  Combined - ROI 54: optimal n events = 37
  Students - ROI 55: optimal n events = 36
  Experts - ROI 55: optimal n events = 42
  Combined - ROI 55: optimal n events = 34
  Students - ROI 56: optimal n events = 32
  Experts - ROI 56: optimal n events = 72
  Combined - ROI 56: optimal n events = 33
  Students - ROI 57: optimal n events = 33
  Experts - ROI 57: optimal n events = 38
  Combined - ROI 57: optimal n events = 33
  Students - ROI 58: optimal n events = 43
  Experts - ROI 58: optimal n events = 47
  Combined - ROI 58: optimal n events = 42
  Students - ROI 59: optimal n events = 28
  Experts - ROI 59: optimal n events = 47
  Combined - ROI 59: optimal n events = 29
  Students - ROI 60: optimal n events = 39
  Experts - ROI 60: optimal n events = 40
  Combined - ROI 60: optimal n events = 46
[CHECKPOINT] Saved through ROI 60
  Students - ROI 61: optimal n events = 29
  Experts - ROI 61: optimal n events = 43
  Combined - ROI 61: optimal n events = 36
  Students - ROI 62: optimal n events = 40
  Experts - ROI 62: optimal n events = 36
  Combined - ROI 62: optimal n events = 41
  Students - ROI 63: optimal n events = 39
  Experts - ROI 63: optimal n events = 40
  Combined - ROI 63: optimal n events = 49
  Students - ROI 64: optimal n events = 39
  Experts - ROI 64: optimal n events = 50
  Combined - ROI 64: optimal n events = 37
  Students - ROI 65: optimal n events = 43
  Experts - ROI 65: optimal n events = 45
  Combined - ROI 65: optimal n events = 36
  Students - ROI 66: optimal n events = 35
  Experts - ROI 66: optimal n events = 77
  Combined - ROI 66: optimal n events = 47
  Students - ROI 67: optimal n events = 35
  Experts - ROI 67: optimal n events = 34
  Combined - ROI 67: optimal n events = 35
  Students - ROI 68: optimal n events = 42
  Experts - ROI 68: optimal n events = 38
  Combined - ROI 68: optimal n events = 39
  Students - ROI 69: optimal n events = 45
  Experts - ROI 69: optimal n events = 40
  Combined - ROI 69: optimal n events = 43
  Students - ROI 70: optimal n events = 43
  Experts - ROI 70: optimal n events = 37
  Combined - ROI 70: optimal n events = 40
[CHECKPOINT] Saved through ROI 70
  Students - ROI 71: optimal n events = 40
  Experts - ROI 71: optimal n events = 44
  Combined - ROI 71: optimal n events = 41
  Students - ROI 72: optimal n events = 30
  Experts - ROI 72: optimal n events = 42
  Combined - ROI 72: optimal n events = 30
  Students - ROI 73: optimal n events = 31
  Experts - ROI 73: optimal n events = 50
  Combined - ROI 73: optimal n events = 33
  Students - ROI 74: optimal n events = 41
  Experts - ROI 74: optimal n events = 81
  Combined - ROI 74: optimal n events = 40
  Students - ROI 75: optimal n events = 39
  Experts - ROI 75: optimal n events = 43
  Combined - ROI 75: optimal n events = 44
  Students - ROI 76: optimal n events = 34
  Experts - ROI 76: optimal n events = 44
  Combined - ROI 76: optimal n events = 43
  Students - ROI 77: optimal n events = 43
  Experts - ROI 77: optimal n events = 41
  Combined - ROI 77: optimal n events = 36
  Students - ROI 78: optimal n events = 32
  Experts - ROI 78: optimal n events = 53
  Combined - ROI 78: optimal n events = 30
  Students - ROI 79: optimal n events = 34
  Experts - ROI 79: optimal n events = 44
  Combined - ROI 79: optimal n events = 37
  Students - ROI 80: optimal n events = 34
  Experts - ROI 80: optimal n events = 36
  Combined - ROI 80: optimal n events = 37
[CHECKPOINT] Saved through ROI 80
  Students - ROI 81: optimal n events = 38
  Experts - ROI 81: optimal n events = 37
  Combined - ROI 81: optimal n events = 38
  Students - ROI 82: optimal n events = 38
  Experts - ROI 82: optimal n events = 52
  Combined - ROI 82: optimal n events = 43
